[2026-04-04 11:06:34] === RPCS3 copy started ===
[2026-04-04 11:06:34] Source: C:\MY_GAMES\RPCS3\
[2026-04-04 11:06:34] Dest:   D:\RPCS3
[2026-04-04 11:06:48]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-b7anj0zjzHVVGnhiWvSW7E-00001G-znver5.obj.gz
[2026-04-04 11:06:48]    Copied in 0.05s at 3.6 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-CGC1Ef34Xu2Rr0aNGN1tkq-00001G-znver5.obj.gz
[2026-04-04 11:06:48]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-CGC1Ef34Xu2Rr0aNGN1tkq-00001G-znver5.obj.gz
[2026-04-04 11:06:49]    Copied in 0.04s at 4 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-Ch9m1JNaPvfZrHoCbaK8ug-00001G-znver5.obj.gz
[2026-04-04 11:06:49]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-Ch9m1JNaPvfZrHoCbaK8ug-00001G-znver5.obj.gz
[2026-04-04 11:06:49]    Copied in 0.04s at 4 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-cNqbmWG0wqsYszSCaVxJaL-00001G-znver5.obj.gz
[2026-04-04 11:06:49]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-cNqbmWG0wqsYszSCaVxJaL-00001G-znver5.obj.gz
[2026-04-04 11:06:49]    Copied in 0.05s at 3.8 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-cPo83ZSpuLy3yWcHGkAHSG-00001G-znver5.obj.gz
[2026-04-04 11:06:49]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-cPo83ZSpuLy3yWcHGkAHSG-00001G-znver5.obj.gz
[2026-04-04 11:06:49]    Copied in 0.06s at 2.7 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-cxQ6S4PQi0SqP1eh85eFZJ-00001G-znver5.obj.gz
[2026-04-04 11:06:49]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-cxQ6S4PQi0SqP1eh85eFZJ-00001G-znver5.obj.gz
[2026-04-04 11:06:49]    Copied in 0.04s at 4.5 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-cYVxztSaNjcFzv2pGkywkE-00001G-znver5.obj.gz
[2026-04-04 11:06:49]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-cYVxztSaNjcFzv2pGkywkE-00001G-znver5.obj.gz
[2026-04-04 11:06:49]    Copied in 0.04s at 4.2 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-ERiviyJYgazfvkXomseqZw-00001G-znver5.obj.gz
[2026-04-04 11:06:49]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-ERiviyJYgazfvkXomseqZw-00001G-znver5.obj.gz
[2026-04-04 11:06:49]    Copied in 0.04s at 3.2 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-F1d8CCb30MNgAF4MWFeNNv-00001G-znver5.obj.gz
[2026-04-04 11:06:49]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-F1d8CCb30MNgAF4MWFeNNv-00001G-znver5.obj.gz
[2026-04-04 11:06:49]    Copied in 0.04s at 4.5 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-fKL9wjG5RkHp0rXEG3fVcT-00001G-znver5.obj.gz
[2026-04-04 11:06:49]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-fKL9wjG5RkHp0rXEG3fVcT-00001G-znver5.obj.gz
[2026-04-04 11:06:50]    Copied in 0.14s at 1.1 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-Fp8bZ1MuqxpRvbFZyE8Awo-00001G-znver5.obj.gz
[2026-04-04 11:06:50]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-Fp8bZ1MuqxpRvbFZyE8Awo-00001G-znver5.obj.gz
[2026-04-04 11:06:50]    Copied in 0.05s at 3.6 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-FVeE3E5naKeN0otm2nfQH2-00001G-znver5.obj.gz
[2026-04-04 11:06:50]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-FVeE3E5naKeN0otm2nfQH2-00001G-znver5.obj.gz
[2026-04-04 11:06:50]    Copied in 0.05s at 3.8 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-iN3WakE9CkU13E1SmKNKWb-00001G-znver5.obj.gz
[2026-04-04 11:06:50]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-iN3WakE9CkU13E1SmKNKWb-00001G-znver5.obj.gz
[2026-04-04 11:06:50]    Copied in 0.05s at 3.2 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-iw7iqKqs8ESTr7rfGXJnpu-00001G-znver5.obj.gz
[2026-04-04 11:06:50]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-iw7iqKqs8ESTr7rfGXJnpu-00001G-znver5.obj.gz
[2026-04-04 11:06:50]    Copied in 0.05s at 3 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-jRVy9vxm82XUS7Qoo9EFS9-00001G-znver5.obj.gz
[2026-04-04 11:06:50]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-jRVy9vxm82XUS7Qoo9EFS9-00001G-znver5.obj.gz
[2026-04-04 11:06:50]    Copied in 0.05s at 3.6 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-jvh2VciuYfa2qgqRGoaTqg-00001G-znver5.obj.gz
[2026-04-04 11:06:50]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-jvh2VciuYfa2qgqRGoaTqg-00001G-znver5.obj.gz
[2026-04-04 11:06:50]    Copied in 0.14s at 1.1 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-jX8GMUXqoMSJpTNaTkZmfZ-00001G-znver5.obj.gz
[2026-04-04 11:06:51]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-jX8GMUXqoMSJpTNaTkZmfZ-00001G-znver5.obj.gz
[2026-04-04 11:06:51]    Copied in 0.06s at 2.8 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-Kar6Q5w0FTYfXzQ9R9dfp1-00001G-znver5.obj.gz
